No.,name,address,score,tags,distance,price:lunch,price:dinner
2,老北京羊蝎子,東京都新宿区西早稲田2-11-13 第一山武ビル 2F,3.16,中華料理、中国鍋??火鍋、居酒屋,面影橋駅 363m,～￥999,"￥2,000～￥2,999"
3,餃子酒場たっちゃん西早稲田店,東京都新宿区西早稲田2-18-23,3.24,餃子、居酒屋、もつ鍋,面影橋駅 342m,"￥1,000～￥1,999","￥2,000～￥2,999"
4,口福西早稲田店,東京都新宿区西早稲田3-20-2 中岡ビル 1F,3.38,中華料理、居酒屋、つけ麺,面影橋駅 308m,～￥999,"￥1,000～￥1,999"
5,えんじ,東京都新宿区西早稲田3-21-3 ZF1ビル B1F,3.05,日本酒バー、居酒屋、割烹??小料理,面影橋駅 338m,-,"￥4,000～￥4,999"
6,グッドモーニングカフェ早稲田店,東京都新宿区西早稲田1-9-12 大隈スクエアビル 1F,3.24,イタリアン、ピザ、カフェ,早稲田（都電）駅 204m,～￥999,"￥2,000～￥2,999"
7,うだつ食堂,東京都新宿区西早稲田1-11-1,3.2,ラーメン、つけ麺、餃子,早稲田（都電）駅 421m,～￥999,～￥999
8,香港居酒屋華翠苑,東京都新宿区西早稲田2-18-26 東龍ビル,3.22,居酒屋、餃子、中華麺（その他）,面影橋駅 339m,～￥999,"￥3,000～￥3,999"
9,東京麺珍亭本舗西早稲田店,東京都新宿区西早稲田2-3-25,3.43,油そば、ラーメン、中華麺（その他）,早稲田（メトロ）駅 423m,～￥999,～￥999
10,鉄板焼さくら,東京都新宿区西早稲田3-29-7,3.59,鉄板焼き、ステーキ、ダイニングバー,高田馬場駅 604m,-,"￥8,000～￥9,999"
11,羊のロッヂ,東京都新宿区西早稲田3-19-3,3.36,ジンギスカン、焼肉、鍋（その他）,面影橋駅 305m,"￥1,000～￥1,999","￥4,000～￥4,999"
12,カフェ・ラグーン,東京都新宿区西早稲田3-15-3 パラディア西早稲田 Ｂ１Ｆ,3.03,ダイニングバー、イタリアン、バイキング,面影橋駅 311m,"￥3,000～￥3,999","￥3,000～￥3,999"
13,みんなのビストロtomo'z,東京都新宿区西早稲田1-9-8 レオナール西早稲田 1F,3.22,バル??バール、オムライス、ダイニングバー,早稲田（都電）駅 248m,～￥999,"￥2,000～￥2,999"
14,次郎亭,東京都新宿区西早稲田3-27-4 キャラット河俣　Ｂ１Ｆ,3.15,沖縄料理、沖縄そば、居酒屋,面影橋駅 347m,-,"￥3,000～￥3,999"
15,鳥でん,東京都新宿区西早稲田3-27-4 第1キャラット河俣 B1F,3.07,焼鳥、日本酒バー、和食（その他）,面影橋駅 357m,-,"￥5,000～￥5,999"
16,波風タテヲ,東京都新宿区西早稲田2-20-5 アトラスタワー 1F,3.14,ラーメン,西早稲田駅 74m,～￥999,～￥999
17,ムーンウォーク西早稲田店,東京都新宿区西早稲田2-18-22 上地ビル1F,3.01,バー,面影橋駅 343m,-,"￥1,000～￥1,999"
18,燃えるポチャ,東京都新宿区西早稲田3-20-4 金子ビル 2F,3.03,韓国料理,面影橋駅 254m,-,"￥2,000～￥2,999"
19,GB'sCAFE早稲田店,東京都新宿区西早稲田2-3-24 ウエダビル102,3.08,ダイニングバー、居酒屋、バー,早稲田（メトロ）駅 439m,～￥999,～￥999
20,モンテ,東京都新宿区西早稲田2-4-16 エスユービル 1F,3.55,ビストロ,早稲田（都電）駅 387m,"￥1,000～￥1,999","￥3,000～￥3,999"
21,立ちスパアッパーカット早稲田店,東京都新宿区西早稲田3-19-1,3.09,パスタ,面影橋駅 303m,～￥999,～￥999
22,沖縄食堂,東京都新宿区西早稲田1-8-18,3.04,沖縄料理、沖縄そば、自然食,早稲田（都電）駅 221m,～￥999,-
23,さど,東京都新宿区西早稲田2-4-4,3.06,定食??食堂,早稲田（都電）駅 446m,～￥999,-
24,ステップ,東京都新宿区西早稲田2-20-3 稲垣ビル 2F,3.14,喫茶店、オムライス、カフェ??喫茶（その他）,西早稲田駅 51m,～￥999,-
25,ウィークック,東京都新宿区西早稲田2-16-17 NKビル 1F,3,メキシコ料理、カフェ,面影橋駅 346m,～￥999,-
26,Bar軍艦島,東京都新宿区西早稲田2-18-21 ハシバビル２F,3.13,バー、焼酎バー、バー??お酒（その他）,面影橋駅 344m,-,"￥1,000～￥1,999"
27,西東詩集,東京都新宿区西早稲田3-15-5,3.18,コーヒー専門店、カフェ,面影橋駅 304m,～￥999,-
28,ヤミツキカリー早稲田店,東京都新宿区西早稲田3-15-7 レジデンス原田苑　１Ｆ,3.51,カレー（その他）、カレーライス,面影橋駅 280m,～￥999,～￥999
29,とおる寿司,東京都新宿区西早稲田3-29-7,3,寿司,面影橋駅 346m,-,"￥3,000～￥3,999"
30,麺屋こころ高田馬場店,東京都新宿区西早稲田2-21-7,3.44,ラーメン、台湾まぜそば、油そば,西早稲田駅 282m,～￥999,～￥999
31,モスバーガー西早稲田店,東京都新宿区西早稲田1-9-19,3.01,ハンバーガー,早稲田（都電）駅 165m,～￥999,-
32,ダルシムカリー,東京都新宿区西早稲田1-9-17,3.61,カレーライス、インドカレー,早稲田（都電）駅 148m,～￥999,～￥999
33,CoCo壱番屋新宿早稲田通店,東京都新宿区西早稲田2-18-23,3.03,カレーライス,面影橋駅 346m,～￥999,～￥999
34,名古屋うどん早稲田本店,東京都新宿区西早稲田3-13-3,3.15,うどん、カレーうどん,面影橋駅 335m,"￥1,000～￥1,999",-
35,ローソン西早稲田駅前店,東京都新宿区西早稲田2-20-9,3.04,その他,西早稲田駅 137m,-,～￥999
36,タカダノババジェットロボット,東京都新宿区西早稲田3-28-1 RICOSビル B1F,3.03,その他,面影橋駅 375m,-,"￥2,000～￥2,999"
37,ベトバル,東京都新宿区西早稲田3-20-4 金子ビル 2F,3.38,ベトナム料理、バル??バール、カフェ,面影橋駅 316m,～￥999,"￥2,000～￥2,999"
38,口中ズルムケBARお前まんまるやん,東京都新宿区西早稲田3-28-1,3.16,たこ焼き、バー,面影橋駅 373m,-,～￥999
39,らーめん一条,東京都新宿区西早稲田1-8-20 高橋ビル 1F,3.42,ラーメン,早稲田（都電）駅 249m,～￥999,～￥999
40,都電テーブル早稲田,東京都新宿区西早稲田1-8-10 前田ビル101,3.02,定食??食堂、居酒屋??ダイニングバー（その他）,早稲田（都電）駅 227m,"￥1,000～￥1,999","￥6,000～￥7,999"
41,風花,東京都新宿区西早稲田2-8-17,3.03,ダイニングバー,西早稲田駅 370m,-,"￥3,000～￥3,999"
42,升や,東京都新宿区西早稲田3-29-5,3.03,割烹??小料理,面影橋駅 351m,-,"￥3,000～￥3,999"
43,BarJubilant,東京都新宿区西早稲田2-18-19 YokeⅤ　2F,3.13,バー、ダイニングバー、オムライス,西早稲田駅 374m,-,"￥2,000～￥2,999"
44,カフェクリオ,東京都新宿区西早稲田1-6-1 早稲田キャンパス1号館 1F 早稲田歴史館,3.05,カフェ,早稲田（都電）駅 341m,"￥1,000～￥1,999",-
45,ティーヌン西早稲田本店,東京都新宿区西早稲田2-18-25 横川ビル　１Ｆ,3.09,タイ料理、タイカレー、ラーメン,面影橋駅 338m,～￥999,"￥1,000～￥1,999"
46,キッチンブン,東京都新宿区西早稲田1-8-20,3.2,洋食,早稲田（都電）駅 250m,～￥999,-
47,北海道おはぎよしかわ,東京都新宿区西早稲田2-1-7,3.24,和菓子,早稲田（メトロ）駅 318m,～￥999,-
48,アララカララ,東京都新宿区西早稲田1-9-6,3.14,喫茶店、カフェ、欧風カレー,早稲田（都電）駅 267m,～￥999,～￥999
49,岸,東京都新宿区西早稲田3-20-4 金子ビル 2F,3.04,居酒屋、居酒屋??ダイニングバー（その他）、焼酎バー,面影橋駅 316m,-,"￥2,000～￥2,999"
50,キジー高田馬場店,東京都新宿区西早稲田2-18-23,3.08,もんじゃ焼き、お好み焼き,面影橋駅 346m,"￥1,000～￥1,999","￥2,000～￥2,999"
51,デュマン,東京都新宿区西早稲田3-11-6 コアハイム西早稲田 1F,3.03,洋菓子（その他）,面影橋駅 283m,～￥999,-
52,サニーサイド,東京都新宿区西早稲田3-28-1 理工社ビル 2F,3.03,バー??お酒（その他）、バー,面影橋駅 375m,-,"￥4,000～￥4,999"
53,WASEDAや,東京都新宿区西早稲田3-19-1,3.25,定食??食堂,面影橋駅 303m,～￥999,～￥999
54,甘露,東京都新宿区西早稲田3-14-11,3.09,カフェ、中国茶専門店、薬膳,面影橋駅 328m,"￥1,000～￥1,999",-
55,中国料理東北風味東北餃子房,東京都新宿区西早稲田2-18-21 １Ｆ,3.39,中華料理,面影橋駅 345m,～￥999,"￥1,000～￥1,999"
56,焼肉市場湯野精肉店,東京都新宿区西早稲田2-20-5 2F,3.16,焼肉、弁当,西早稲田駅 88m,～￥999,"￥4,000～￥4,999"
57,ネッコカフェ,東京都新宿区西早稲田2-18-21 羽柴ビル202,3,カフェ,面影橋駅 345m,～￥999,-
58,柳屋銀次郎,東京都新宿区西早稲田2-4-25 ハイネス西早稲田 1F,3.12,ラーメン,早稲田（都電）駅 410m,～￥999,～￥999
59,呑み食い処浅ちゃんち,東京都新宿区西早稲田1-4,3.02,居酒屋,早稲田（都電）駅 333m,-,"￥1,000～￥1,999"
60,ターリー屋西早稲田店,東京都新宿区西早稲田1-6-3  IT'S BUNMEIDOビル1F,3.05,インドカレー、インド料理,早稲田（都電）駅 163m,～￥999,-
61,宣喜茶西早稲田店,東京都新宿区西早稲田2-4-18,3.02,スイーツ（その他）、カフェ,早稲田（都電）駅 374m,～￥999,-
62,大昌苑,東京都新宿区西早稲田2-5-12 ザ??ステージ早稲田1F,3.08,焼肉、韓国料理,早稲田（都電）駅 415m,-,"￥5,000～￥5,999"
63,八幡鮨,東京都新宿区西早稲田3-1-1,3.24,寿司、魚介料理??海鮮料理,早稲田（都電）駅 341m,"￥1,000～￥1,999","￥10,000～￥14,999"
64,aunt,東京都新宿区西早稲田3-15-2 1F,3.15,和食（その他）、喫茶店、カフェ,面影橋駅 317m,～￥999,-
65,ニュースクール,東京都新宿区西早稲田2-1-17,3.06,定食??食堂、カフェ??喫茶（その他）、居酒屋,早稲田（メトロ）駅 317m,～￥999,"￥3,000～￥3,999"
66,フロム??ハンド??トゥ??マウス,東京都新宿区西早稲田1-4-14 １Ｆ,3.07,無国籍料理、カフェ、ケーキ,早稲田（都電）駅 339m,～￥999,～￥999
67,WILDラーメン,東京都新宿区西早稲田2-18-25,3.15,ラーメン,面影橋駅 339m,～￥999,～￥999
68,隴垣金城　蘭州清湯牛肉面,東京都新宿区西早稲田1丁目9-10 扶桑ハイツ早稲田１F,3.09,ラーメン,早稲田（都電）駅 216m,～￥999,～￥999
69,博多一風堂高田馬場店,東京都新宿区西早稲田2-15-7,3.21,ラーメン,面影橋駅 340m,～￥999,"￥1,000～￥1,999"
